Mano"	Logic. Reason
Manyoro"	Fertiliser. Humus
Manyunyu"	Pride
Mapa"	Flour
Mapapa"	Clouds
Mara"	But
Marhacici"	-
Marhumbu"	Intestines
Marigugu"	-
Masana"	Sunrays
Masasekani"	One with beauty
Masesi"	-
Maseve"	Friend
Masingita"	Miracles
Masivi"	Pronouns
Matakuxa"	Early morning
Matandza"	Eggs
Mati"	Water
Matiko "	Countries
Matimba"	Strength
Matimu"	History
Matlala"	Initiation school for men
Matlhongweni"	-
Matluka"	Leaves
Matomani"	Mopane worm
Matsalani"	Secretary
Matsavu"	Vegetables
Matshwani"	New
Matsolo"	Knees
Mavala"	Muliticoloured
Mavele"	Breasts
Mavele"	Maize
Maveriveri"	Rumour
Maviti"	Pronouns
Mavizweni"	Synonyms
Mavonakule"	Television
Mavondzo"	Jealous
Mavunwa"	Lies
Maxaka"	Relatives
Maxalani"	Barley
Maxangu"	Hardship
Maxelo"	Weather
Maxinjani"	Squirrel
Mbanga"	Wound
Mbangi"	Dagga
Mbavala"	Bushbuck
Mberha"	Dew
Mbewulani"	Swallow
Mbhaha"	Hen
Mbhambha"	Traditional beer
Mbhongholo"	Donkey
Mbhoni"	Witness
Mbhovo"	Hole
Mbhurhi"	Beautiful girl
Mbila"	Xylophone
Mbilu"	Heart
Mbindzimula"	Demolish
Mbita "	Pot
Mbita-ya-vutivi"	Computer
Mbombomela"	Drown
Mbulwa"	A well-mannered person
Mbuti"	Goat
Mbuyangwani"	Shame 
Mbuyelo"	Returns
Mbvhutamelo "	Ambush
Mbvutamelo"	Ambush
Mbyana"	Dog
Mecisi"	Matches
Meno"	Teeth
Meyila"	Mule
Mfava"	Rubbish
Mfenhe"	Baboon
Mfumo"	Government
Mfumo"	Authority
Mfungura "	Pad lock
Mfungwe"	Civet
Mfutsu"	Water turtle
Mhaka"	Affair
Mhakamuni"	Affair
Mhala"	Buck
Mhalamhala"	Sable
Mhalamhala"	Horn
Mhandzela"	Aardvark. Antbear
Mhangele"	Guinea fowl
Mhangu"	Accident
Mharavunguvungu"	-
Mharigugu"	-
Mheho"	Breeze
Mhelembe"	Rhino
Mhika"	Barren woman. A woman who cannot bear children
Mhiri"	Puff-adder
Mhisi"	Hyena
Mhitlwa"	Waterbuck
Mhofu"	Roan
Mhondzo"	Horn
Mhongolwana"	Dolphin
Mhungubya"	Side-striped Jackal
Mhunti"	Antelope
Micato"	Wedding
Miehleketo"	Memory
Miehleketo"	Thoughts
Miehleketo"	Idea
Migodi"	Mines
Mihlolo"	Miracle
Mihloti"	Tears
Mikateko"	Blessings
Mikateko"	Blessings
Mikhenso"	Thanksgiving
Milawu"	Laws
Mina"	Me
Minete"	Minute
Minkateko"	Blessings
Minwala"	Nails
Minyikelo"	Offerings
Miri"	Body
Miringo"	Temptations
Misava"	Earth
Misaveni"	Earth.
Misisi"	Hair
Misola"	Blame
Mita"	Swallow
Mitsheketo"	Riddles
Mixo"	Morning
Miyelani"	Keep quiet
Mkhumbi"	White Rhinoceros
Mombo"	Forehead
Mona"	Wickedness
Mongo"	Essence of content
Mova"	Sugarcane
Movha"	Car
Moxa"	Damage
Moya"	Air. Wind
Mpahla"	Goods. Clothes
Mpakani"	Beacon
Mpama "	Slap
Mpama"	Beautiful lady
Mpfafarutelo"	Scribbling/ draft
Mpfhapfhapfha"	Nonsense
Mpfilwa"	Vangueria Infausta
Mpfula"	Rain
Mpfumawulo"	Sound. Voice
Mpfundla"	Hare
Mpfundla"	Rabbit
Mpfuno"	Help
Mpfuvu"	Hippopotamus
Mpfuxelelo"	Revival
Mpfuxeto"	Revise
Mphakelo "	Distribution
Mphati"	Royal Herald/Poet
Mphephu"	-
Mpimo"	Size
Mpohlo"	A handsome man
Mpunga"	Rice
Mthavini"	Mthavin
Muahluri"	Judge
Muavanyisi"	Judge
Mubedwa"	Bed
Mubohiwa"	Prisoner
Muchaviseki"	Honourable
Muchayeni"	Komatsuna
Muchayeri"	Driver
Mudlayi"	Killer
Mudyaxihi"	May
Mudyondzisi"	Teacher
Mudzaberi"	Coach
Mufuri"	Smith
Mugimeto"	Saturday
Mugodi"	Mine
Muhadamba"	Kind of tree
Muhandzuri"	Surgeon
Muhanyi"	The living
Muhanyisi"	Healer
Muhaxi"	Broadcaster
Muheberu"	Hebrew
Muhedeni"	Unbeliever
Muhehli"	Heretic
Muhembi"	Liar
Muhizo"	Cloth worn in a careless way.
Muhlaleri"	Spectator.
Muhlamuseri"	Interpreter.
Muhlayisi"	Preserver. Trustee. Warden. Guardian. Keeper
Muhleli"	Publisher. Editor.
Muhloti"	Hunter.
Muhlovo"	Color. Kind
Muhlovo"	Kind. Sort. Species. Colour. Type.
Muhluri"	Conqueror
Muhlwa"	Termite. White ant
Muhocho"	Tunnel.
Muholo"	Salary
Muhosi"	Backyard. Outside rear part of house
Muhundzuki"	Convert.
Muhundzuluxi"	Translator
Mujeko"	Flag. Pavilion.
Muka"	Go home. Go back.
Mukamberi"	Inspector. Scout.
Mukamberinhlori"	Spy.
Mukandziyisi"	Publisher. Printer.
Mukaneti"	Opposer. Adversary
Mukanganyisi"	Humbug. Perjurer.
Mukhacani"	Xitsonga traditional name
Mukhalabya"	Old man.
Mukhamu"	Girdle.
Mukhandziyi"	Rider.
Mukhegulu"	Old woman
Mukhomiwa"	Convict. Captive.
Mukhongeleri"	Intercessor.
Mukhosi"	Alarm. Hue. Cry for help
Mukhotsiwa"	Captive. Convict. Prisoner
Mukhuhlwana"	Flu,  Cold
Mukhuhlwani"	Flu
Mukhumbi"	Pirogue. Canoe.
Mukhuva"	Manner. Habit. Behaviour
Mukhuvuri"	 Baptist
Mukhwakhwa"	Cow disease
Mukisa"	Dismiss. Send home.
Mukoloti"	Debtor.
Mukomberi"	Beggar. Solicitor.
Mukon'wana"	Son in Law
Mukondleteri"	Encourager. Supporter
Mukonwana"	In law
Mukriste"	Christian.
Mukutsuri"	Liberator. Redeemer.
Mukwana"	Knife
Mukwetsimi"	Saint
Muladza"	Whey
Mulamula"	Orange tree
Mulamuleri"	Mediator. Peace maker.
Mulandzeri"	Follower.
Mulandzuri"	Protestant.
Mulanguteri"	Overseer. Guardian. Keeper. Steward
Mulaveleri"	Keeper. Steward.
Muleda"	Velvety stinging bean, the creeper.
Mulerisi-wa-masocha"	Sergeant.
Mulovori"	Bridegroom.
Mulumbeti"	Accuser
Mulunghisi"	Fixer
Muluva"	Acacia
Muluveri"	Foreigner. Stranger.
Muluvisi"	Tribute collecter
Muluvisi"	Tax collector. Toll gatherer.
Mulweri"	Defender. Advocate.
Mulwetani"	Rival.
Mulwi"	Warrior.
Mumbi"	Maker. Creator.
Mumbu"	Swarm.
Mump"	Wasp.
Mumpfu"	Wax.
Mumu"	Sun
Mundle"	Prawn. Shrimp.
Mundlwana"	Day after tomorrow.
Munene"	Someone great
Munghana"	Friend. Companion
Munghezi"	Englishman.
